timestamp,bidPrice,askPrice,transportFees,exportTariff,importTariff,sugarPrice,sunlightIndex
0,798.5,800.0,1.7,9.5,-5.5,212.0,55.0
100,792.0,793.5,1.7,9.5,-5.5,211.9157507,55.0
200,790.0,791.5,1.7,9.5,-5.5,211.9515083,55.01
300,788.0,789.5,1.7,9.5,-5.5,211.6039359,55.02
400,783.5,785.0,1.7,9.5,-5.5,211.387838,55.02
500,781.5,783.0,1.7,9.5,-5.5,211.2958833,55.02
600,781.0,782.5,1.7,9.5,-5.5,211.5078563,55.03
700,775.5,777.0,1.7,9.5,-5.5,211.4892308,55.04
800,772.5,774.0,1.7,9.5,-5.5,211.5642776,55.04
900,770.5,772.0,1.7,9.5,-5.5,211.3720412,55.04
1000,770.5,772.5,1.7,9.5,-5.5,211.4072522,55.05
1100,773.0,774.5,1.7,9.5,-5.5,211.2254793,55.06
1200,771.5,773.0,1.7,9.5,-5.5,211.1010095,55.06
1300,770.0,771.5,1.7,9.5,-5.5,210.8611866,55.06
1400,769.5,771.0,1.7,9.5,-5.5,210.8839623,55.07
1500,766.5,768.0,1.7,9.5,-5.5,210.7426667,55.08
1600,764.0,765.5,1.7,9.5,-5.5,210.5208078,55.08
1700,767.0,768.5,1.7,9.5,-5.5,210.5295095,55.08
1800,769.5,771.0,1.7,9.5,-5.5,210.5916863,55.09
1900,771.5,773.0,1.7,9.5,-5.5,210.8393322,55.1
2000,777.5,779.0,1.7,9.5,-5.5,211.021907,55.1
2100,777.5,779.5,1.7,9.5,-5.5,211.0626895,55.1
2200,777.5,779.5,1.7,9.5,-5.5,211.2897594,55.11
2300,777.0,778.5,1.7,9.5,-5.5,211.1729226,55.12
2400,775.5,777.0,1.7,9.5,-5.5,210.4545636,55.12
2500,776.5,778.0,1.7,9.5,-5.5,210.5008838,55.12
2600,777.5,779.0,1.7,9.5,-5.5,210.3412824,55.13
2700,777.5,779.5,1.7,9.5,-5.5,210.3288895,55.14
2800,774.5,776.0,1.7,9.5,-5.5,209.947664,55.14
2900,781.5,783.0,1.7,9.5,-5.5,210.1249284,55.14
3000,781.5,783.0,1.7,9.5,-5.5,210.0035019,55.15
3100,784.0,785.5,1.7,9.5,-5.5,210.338223,55.16
3200,781.5,783.0,1.7,9.5,-5.5,210.1763126,55.16
3300,781.5,783.0,1.7,9.5,-5.5,210.1203107,55.16
3400,784.0,785.5,1.7,9.5,-5.5,210.0758244,55.17
3500,785.5,787.0,1.7,9.5,-5.5,210.3582386,55.18
3600,784.5,786.0,1.7,9.5,-5.5,210.6320115,55.18
3700,784.5,786.5,1.7,9.5,-5.5,210.6097322,55.18
3800,784.0,785.5,1.7,9.5,-5.5,210.4589266,55.19
3900,778.5,780.0,1.7,9.5,-5.5,210.1412808,55.2
4000,780.0,781.5,1.7,9.5,-5.5,210.2007404,55.2
4100,777.0,778.5,1.7,9.5,-5.5,209.9854835,55.2
4200,775.5,777.0,1.7,9.5,-5.5,209.7304241,55.21
4300,775.5,777.0,1.7,9.5,-5.5,209.5710833,55.22
4400,774.5,776.0,1.7,9.5,-5.5,209.1298591,55.22
4500,774.5,776.5,1.7,9.5,-5.5,209.375026,55.22
4600,774.0,775.5,1.7,9.5,-5.5,209.2901856,55.23
4700,775.5,777.0,1.7,9.5,-5.5,209.4909619,55.24
4800,774.0,775.5,1.7,9.5,-5.5,209.4824269,55.24
4900,776.5,778.0,1.7,9.5,-5.5,209.628649,55.24
5000,776.5,778.5,1.7,9.5,-5.5,209.7770982,55.25
5100,775.5,777.0,1.7,9.5,-5.5,209.748842,55.26
5200,776.0,777.5,1.7,9.5,-5.5,209.9942497,55.26
5300,773.0,774.5,1.7,9.5,-5.5,209.922303,55.26
5400,775.0,776.5,1.7,9.5,-5.5,210.212248,55.27
5500,773.0,774.5,1.7,9.5,-5.5,210.1573744,55.28
5600,771.0,772.5,1.7,9.5,-5.5,209.9107682,55.28
5700,770.5,772.5,1.7,9.5,-5.5,209.7989543,55.28
5800,768.0,769.5,1.7,9.5,-5.5,209.4972867,55.29
5900,768.5,770.0,1.7,9.5,-5.5,209.6033228,55.3
6000,766.0,767.5,1.7,9.5,-5.5,209.3407655,55.3
6100,767.0,768.5,1.7,9.5,-5.5,209.2416425,55.3
6200,767.0,768.5,1.7,9.5,-5.5,209.243563,55.31
6300,764.5,766.0,1.7,9.5,-5.5,208.8721071,55.32
6400,763.5,765.0,1.7,9.5,-5.5,208.8161483,55.32
6500,758.0,759.5,1.7,9.5,-5.5,208.7068961,55.32
6600,759.0,760.5,1.7,9.5,-5.5,208.6441475,55.33
6700,761.0,762.5,1.7,9.5,-5.5,208.8623541,55.34
6800,761.0,762.5,1.7,9.5,-5.5,208.7947824,55.34
6900,761.0,762.5,1.7,9.5,-5.5,208.8105935,55.34
7000,759.0,760.5,1.7,9.5,-5.5,208.8233044,55.35
7100,758.5,760.0,1.7,9.5,-5.5,208.596694,55.36
7200,760.0,761.5,1.7,9.5,-5.5,208.7896865,55.36
7300,762.5,764.0,1.7,9.5,-5.5,208.8480501,55.36
7400,766.5,768.0,1.7,9.5,-5.5,209.151854,55.37
7500,768.5,770.0,1.7,9.5,-5.5,209.4178093,55.38
7600,766.0,767.5,1.7,9.5,-5.5,208.9934474,55.38
7700,768.5,770.0,1.7,9.5,-5.5,209.0908455,55.38
7800,772.5,774.0,1.7,9.5,-5.5,209.4581907,55.39
7900,776.0,777.5,1.7,9.5,-5.5,209.534644,55.4
8000,774.5,776.0,1.7,9.5,-5.5,209.541298,55.4
8100,774.5,776.0,1.7,9.5,-5.5,209.5315127,55.4
8200,777.0,778.5,1.7,9.5,-5.5,209.6873727,55.41
8300,773.0,774.5,1.7,9.5,-5.5,209.683487,55.42
8400,773.0,774.5,1.7,9.5,-5.5,209.6143151,55.42
8500,771.0,772.5,1.7,9.5,-5.5,209.4990566,55.42
8600,771.5,773.0,1.7,9.5,-5.5,209.7395833,55.43
8700,773.0,774.5,1.7,9.5,-5.5,209.8228994,55.44
8800,777.0,778.5,1.7,9.5,-5.5,209.9060939,55.44
8900,779.5,781.0,1.7,9.5,-5.5,210.0986782,55.44
9000,776.5,778.0,1.7,9.5,-5.5,209.954712,55.45
9100,776.0,778.0,1.7,9.5,-5.5,209.7151135,55.46
9200,780.0,781.5,1.7,9.5,-5.5,209.9691624,55.46
9300,781.0,782.5,1.7,9.5,-5.5,209.9947436,55.46
9400,781.0,782.5,1.7,9.5,-5.5,210.083477,55.47
9500,781.0,782.5,1.7,9.5,-5.5,210.0260689,55.48
9600,779.5,781.0,1.7,9.5,-5.5,209.893989,55.48
9700,773.5,775.0,1.7,9.5,-5.5,209.6779428,55.48
9800,773.5,775.0,1.7,9.5,-5.5,209.6944683,55.49
9900,773.5,775.0,1.7,9.5,-5.5,209.4142979,55.5
10000,775.5,777.0,1.7,9.5,-5.5,209.890092,55.5
10100,779.0,780.5,1.7,9.5,-5.5,210.0677818,55.5
10200,779.0,780.5,1.7,9.5,-5.5,210.2991748,55.51
10300,775.5,777.0,1.7,9.5,-5.5,210.2400195,55.52
10400,780.0,781.5,1.7,9.5,-5.5,210.3331727,55.52
10500,784.0,785.5,1.7,9.5,-5.5,210.4964662,55.52
10600,784.5,786.0,1.7,9.5,-5.5,210.8906891,55.53
10700,785.5,787.0,1.7,9.5,-5.5,211.3105648,55.54
