timestamp,bidPrice,askPrice,transportFees,exportTariff,importTariff,sugarPrice,sunlightIndex
0,671.0,672.5,2.100000000000001,10.0,-3.0,199.0,55.0
100,672.0,673.5,2.100000000000001,10.0,-3.0,199.0640894171817,55.0
200,668.5,670.0,2.100000000000001,10.0,-3.0,198.7831681961652,55.01
300,668.5,670.0,2.100000000000001,10.0,-3.0,198.54512037751093,55.02
400,668.0,669.5,2.100000000000001,10.0,-3.0,198.45526083601,55.02
500,668.5,670.0,2.100000000000001,10.0,-3.0,198.32752915530887,55.02
600,668.5,670.0,2.100000000000001,10.0,-3.0,198.3160220685304,55.03
700,666.5,668.0,2.100000000000001,10.0,-3.0,197.9338145553394,55.04
800,665.5,667.0,2.100000000000001,10.0,-3.0,197.94761052522293,55.04
900,667.0,668.5,2.100000000000001,10.0,-3.0,198.0298850183654,55.04
1000,663.5,665.0,2.100000000000001,10.0,-3.0,197.90523712968127,55.05
1100,662.5,664.0,2.100000000000001,10.0,-3.0,198.0165933146952,55.06
1200,660.0,661.5,2.100000000000001,10.0,-3.0,197.88080471147808,55.06
1300,660.0,661.5,2.100000000000001,10.0,-3.0,197.957925879879,55.06
1400,658.0,659.5,2.100000000000001,10.0,-3.0,197.76507355739608,55.07
1500,656.0,657.5,2.100000000000001,10.0,-3.0,197.7011287320226,55.08
1600,655.5,657.0,2.100000000000001,10.0,-3.0,197.50690802729645,55.08
1700,658.0,659.5,2.100000000000001,10.0,-3.0,197.72541090195617,55.08
1800,656.5,658.0,2.100000000000001,10.0,-3.0,197.7306777724815,55.09
1900,661.0,662.5,2.100000000000001,10.0,-3.0,197.9388818369781,55.1
2000,658.5,660.0,2.100000000000001,10.0,-3.0,197.8649755314736,55.1
2100,654.0,655.5,2.100000000000001,10.0,-3.0,197.50849664039583,55.1
2200,656.5,658.0,2.100000000000001,10.0,-3.0,197.4749907017888,55.11
2300,654.0,655.5,2.100000000000001,10.0,-3.0,197.37857340782472,55.12
2400,653.0,654.5,2.100000000000001,10.0,-3.0,197.4769788746217,55.12
2500,650.0,651.5,2.100000000000001,10.0,-3.0,197.4289707978491,55.12
2600,646.5,648.0,2.100000000000001,10.0,-3.0,197.10491644189435,55.13
2700,642.0,643.5,2.100000000000001,10.0,-3.0,196.81512905728783,55.14
2800,636.0,637.5,2.100000000000001,10.0,-3.0,196.6080591331352,55.14
2900,637.5,639.0,2.100000000000001,10.0,-3.0,196.7270344395752,55.14
3000,639.5,641.0,2.100000000000001,10.0,-3.0,196.80619140570377,55.15
3100,643.5,645.0,2.100000000000001,10.0,-3.0,197.03191211812788,55.16
3200,645.0,646.5,2.100000000000001,10.0,-3.0,197.2418309215645,55.16
3300,647.5,649.0,2.100000000000001,10.0,-3.0,197.7410486321642,55.16
3400,647.0,649.0,2.100000000000001,10.0,-3.0,197.62832454790907,55.17
3500,649.5,651.0,2.100000000000001,10.0,-3.0,197.6716395852804,55.18
3600,652.5,654.0,2.100000000000001,10.0,-3.0,197.77625537928049,55.18
3700,653.5,655.0,2.100000000000001,10.0,-3.0,197.8638461174309,55.18
3800,654.0,655.5,2.100000000000001,10.0,-3.0,198.0563326866705,55.19
3900,655.0,656.5,2.100000000000001,10.0,-3.0,197.80408229654856,55.2
4000,654.0,655.5,2.100000000000001,10.0,-3.0,197.90789937074547,55.2
4100,649.0,650.5,2.100000000000001,10.0,-3.0,197.7267691327557,55.2
4200,646.0,647.5,2.100000000000001,10.0,-3.0,197.5140616700857,55.21
4300,647.5,649.0,2.100000000000001,10.0,-3.0,197.7370194588583,55.22
4400,652.0,653.5,2.100000000000001,10.0,-3.0,198.13006819742748,55.22
4500,650.5,652.0,2.100000000000001,10.0,-3.0,198.0328115791656,55.22
4600,648.0,649.5,2.100000000000001,10.0,-3.0,197.98353850835423,55.23
4700,651.0,652.5,2.100000000000001,10.0,-3.0,198.04264038289048,55.24
4800,648.5,650.0,2.100000000000001,10.0,-3.0,198.0311311614172,55.24
4900,648.0,649.5,2.100000000000001,10.0,-3.0,198.19624381806852,55.24
5000,649.5,651.0,2.100000000000001,10.0,-3.0,198.54630643533127,55.25
5100,651.0,652.5,2.100000000000001,10.0,-3.0,198.77400483488915,55.26
5200,650.5,652.0,2.100000000000001,10.0,-3.0,198.8424022279584,55.26
5300,649.0,650.5,2.100000000000001,10.0,-3.0,198.89737772405607,55.26
5400,646.5,648.0,2.100000000000001,10.0,-3.0,198.73361473675493,55.27
5500,648.5,650.0,2.100000000000001,10.0,-3.0,198.69990583118832,55.28
5600,644.5,646.0,2.100000000000001,10.0,-3.0,198.5195136873783,55.28
5700,646.0,647.5,2.100000000000001,10.0,-3.0,198.70463122704984,55.28
5800,644.5,646.0,2.100000000000001,10.0,-3.0,198.5928007700565,55.29
5900,645.0,646.5,2.100000000000001,10.0,-3.0,198.695392761208,55.3
6000,647.5,649.0,2.100000000000001,10.0,-3.0,198.8844658252864,55.3
6100,643.5,645.0,2.100000000000001,10.0,-3.0,198.7828906959641,55.3
6200,641.5,643.0,2.100000000000001,10.0,-3.0,198.61761128557453,55.31
6300,639.0,640.5,2.100000000000001,10.0,-3.0,198.5270388845792,55.32
6400,641.5,643.0,2.100000000000001,10.0,-3.0,198.9566143451215,55.32
6500,642.0,643.5,2.100000000000001,10.0,-3.0,198.75901215189728,55.32
6600,641.5,643.5,2.100000000000001,10.0,-3.0,199.13628408459093,55.33
6700,644.0,645.5,2.100000000000001,10.0,-3.0,199.290748827682,55.34
6800,643.5,645.0,2.100000000000001,10.0,-3.0,199.22961891770865,55.34
6900,646.5,648.0,2.100000000000001,10.0,-3.0,199.3880121363604,55.34
7000,645.5,647.0,2.100000000000001,10.0,-3.0,199.17391689771023,55.35
7100,642.0,643.5,2.100000000000001,10.0,-3.0,199.03131369840565,55.36
7200,642.0,643.5,2.100000000000001,10.0,-3.0,198.9237524037817,55.36
7300,646.5,648.0,2.100000000000001,10.0,-3.0,199.0144076417827,55.36
7400,642.5,644.0,2.100000000000001,10.0,-3.0,198.8119841260068,55.37
7500,641.0,642.5,2.100000000000001,10.0,-3.0,198.7407841216138,55.38
7600,638.5,640.0,2.100000000000001,10.0,-3.0,198.5621673977656,55.38
7700,640.5,642.0,2.100000000000001,10.0,-3.0,198.82301599832044,55.38
7800,643.0,644.5,2.100000000000001,10.0,-3.0,198.83465863760577,55.39
7900,643.5,645.0,2.100000000000001,10.0,-3.0,198.74956932841724,55.4
8000,645.0,646.5,2.100000000000001,10.0,-3.0,198.70533365579848,55.4
8100,645.0,646.5,2.100000000000001,10.0,-3.0,198.4696663120272,55.4
